06-08-2019 10:29:48.000 +	ZET7156_X (08)	ZET7156_Y (09)	ZET7156_Z (10)	
c	мм/с	мм/с	мм/с	
44,604	0,0775836	0,00477871	-0,0327582
44,606	0,0854392	0,00838058	0,00379093
44,608	0,0743722	0,0750771	0,00935863
44,61	0,0483619	0,0732694	-0,0133759
44,612	0,0693756	-0,0293783	0,0218012
44,614	0,0833022	-0,0528997	0,0360196
44,616	0,0478042	0,0471854	-0,0130338
44,618	0,0520996	0,0762035	-0,0181572
44,62	0,0560733	-0,0380328	0,0196748
44,622	0,0569942	-0,0363238	-0,0043604
44,624	0,0622588	0,0716926	-0,018308
44,626	0,0168415	0,0380575	0,0474348
44,628	0,0149278	-0,0640682	0,0493798
44,63	0,0744104	-0,0382871	-0,0287359
44,632	0,0559756	0,0643172	-0,0143421
44,634	-0,00251609	0,0628668	0,0773665
44,636	0,0168897	-0,0333762	0,0467855
44,638	0,0622142	-0,0359428	-0,0348931
44,64	0,0542152	0,0430369	0,00872578
44,642	0,0198785	0,0260966	0,0842274
44,644	0,0376335	-0,0334351	0,0304386
44,646	0,0463435	-0,0116843	-0,0405613
44,648	0,0289937	0,0491628	0,0276396
44,65	0,0386708	0,0510409	0,0700648
44,652	0,0344628	-0,00846132	-0,0219707
44,654	0,0253792	-0,0190007	-0,0455057
44,656	0,0467348	0,0326006	0,0296222
44,658	0,044608	0,0157045	0,0500542
44,66	0,0160429	0,011159	0,00406977
44,662	0,0125325	0,038888	-0,0173251
44,664	0,0339741	0,0143531	-0,0184427
44,666	0,0442858	0,00652505	-0,0109661
44,668	0,00966154	0,0347542	0,0270331
44,67	0,0465464	0,0444664	0,0539587
44,672	0,0713965	0,0231332	0,00455677
44,674	-0,00728816	0,0189415	-0,0366361
44,676	0,00365094	0,0417675	0,023755
44,678	0,0645539	0,0567258	0,0368833
44,68	0,0237895	0,0386567	-0,0153492
44,682	0,00658057	-0,000744716	0,0216334
44,684	0,0515114	-0,00776461	0,0622705
44,686	0,0583048	0,053972	0,00182329
44,688	0,0219831	0,0737026	-0,00903699
44,69	0,00602111	0,0201221	0,0462565
44,692	0,058983	0,0123548	0,00943767
44,694	0,0644811	0,0651905	-0,020283
44,696	0,0231305	0,0705996	0,0667208
44,698	0,0557849	0,00645121	0,0845693
44,7	0,0925614	0,00164993	-0,0334051
44,702	0,0691653	0,102181	-0,0537562
44,704	0,0563262	0,0845871	0,0496239
44,706	0,0699444	-0,0248529	0,0606702
44,708	0,0845694	0,0234833	-0,019028
44,71	0,0832291	0,0900889	-0,0124138
44,712	0,0825091	0,0272005	0,0391045
44,714	0,074967	-0,0162166	0,0085654
44,716	0,092621	0,0588038	-0,0296355
44,718	0,132583	0,102114	0,0131115
44,72	0,076668	0,0276801	0,0320157
44,722	0,0463699	-0,0271486	-0,00579666
44,724	0,129378	0,0120231	0,00205629
44,726	0,132482	0,0616582	0,0311982
44,728	0,0726434	0,0558005	0,0145631
44,73	0,0803314	0,000730248	-0,0191638
44,732	0,120748	-0,00929241	0,00870716
44,734	0,121656	0,0556407	0,024196
44,736	0,0701993	0,0425596	0,00503783
44,738	0,071239	-0,0202653	-0,0167575
44,74	0,146038	-0,0296148	-0,00931788
44,742	0,111988	0,0153652	0,00452954
44,744	0,0516401	0,0655141	0,0253239
44,746	0,0707758	0,00250858	0,0029435
44,748	0,119103	-0,0667275	-0,0560783
44,75	0,117679	-0,00590918	-0,0395739
44,752	0,0678927	0,0418233	0,059184
44,754	0,0882115	-0,00852438	0,0665826
44,756	0,148297	-0,0461974	-0,0312836
44,758	0,100484	0,00495775	-0,0672946
44,76	0,036002	0,0491092	0,0259227
44,762	0,063919	-0,00495106	0,0701354
44,764	0,14158	-0,0541644	0,0103988
44,766	0,140651	-0,0127209	-0,0259422
44,768	0,058169	0,0223732	0,0209913
44,77	0,0802025	-0,0139291	0,0393509
44,772	0,131056	-0,0567349	-0,00179588
44,774	0,0710487	0,00279065	-0,0158926
44,776	0,0502705	0,0659157	0,0168695
44,778	0,106986	-0,0200173	0,0103979
44,78	0,125995	-0,102071	0,0222819
44,782	0,101958	0,00731867	0,0414045
44,784	0,084626	0,0891304	0,00420711
44,786	0,0811938	0,0249343	-0,0620006
44,788	0,0689735	-0,0608866	-0,0322051
44,79	0,0666908	-0,0274304	0,0524425
44,792	0,0901376	0,0674887	0,0662685
44,794	0,0660807	0,0283252	-0,0188892
44,796	0,0646895	-0,0752823	-0,0552791
44,798	0,0789382	-0,0381163	-0,00723353
44,8	0,0476274	0,104659	0,0170769
44,802	0,0432324	0,093193	0,00796144
44,804	0,0478553	-0,0552488	-0,00107287
44,806	0,040308	-0,0756219	-0,0187339
44,808	0,0387379	0,0391709	0,0151127
44,81	0,0243383	0,100054	0,0420418
44,812	0,0343502	0,0156448	0,00936987
44,814	0,0636912	-0,0486664	-0,0265762
44,816	0,0280185	0,0586549	-0,0167646
44,818	0,00360721	0,0893436	0,0353244
44,82	0,0408347	-0,03291	0,0755352
44,822	0,0433167	-0,0150503	-0,00526249
44,824	-0,00702395	0,0653712	-0,0424953
44,826	0,00581088	0,0874596	0,0599196
44,828	0,0418179	0,0646605	0,0515413
44,83	0,045557	-0,0161477	-0,0472821
44,832	0,0660155	0,0221325	-0,0221097
44,834	0,0132483	0,0739475	0,0365423
44,836	-0,00687695	0,00342552	0,0367813
44,838	0,0554798	0,016071	0,0244825
44,84	0,0236751	0,0922553	-0,00178624
44,842	0,0458135	0,0692446	-0,0205395
44,844	0,0867364	0,00842331	-0,000669082
44,846	0,0152419	0,0296809	0,017154
44,848	0,0463653	0,0539665	0,0445812
44,85	0,0752601	0,0486426	0,0321619
44,852	0,00845689	0,0311721	-0,016991
44,854	0,0321038	0,0263416	-0,00131704
44,856	0,0371926	0,0423691	0,0335825
44,858	0,0318504	0,0330081	0,0338841
44,86	0,0930101	-0,00148624	0,00723186
44,862	0,0490147	0,00693394	-0,00323776
44,864	-0,00188332	0,0539863	0,00521475
44,866	0,0488988	0,0180525	0,0379663
44,868	0,0554709	-0,02215	0,021474
44,87	0,034743	0,0264701	-0,00621357
44,872	0,0368638	0,0499197	0,00919005
44,874	0,0337729	-0,0167039	0,0202216
44,876	0,0535047	-0,0472534	0,0217194
44,878	0,0809611	0,0262557	0,00506656
44,88	0,0518606	0,0591718	0,00238206
44,882	0,0254889	-0,036977	0,0156637
44,884	0,0446225	-0,0769481	0,00272076
44,886	0,0589907	0,0414353	-0,00754217
44,888	0,054442	0,0786321	0,0190385
44,89	0,0569483	-0,0565083	0,04127
44,892	0,0682214	-0,076791	-0,0253315
44,894	0,102659	0,0490591	-0,0482925
44,896	0,0922491	0,0506264	0,0297654
44,898	0,0457983	-0,0467969	0,024791
44,9	0,0790232	-0,0640688	-0,0285501
44,902	0,105365	0,0294849	-0,00620085
44,904	0,0811471	0,0638959	0,0245835
44,906	0,0892184	-0,0440421	0,00677234
44,908	0,125053	-0,0612717	-0,0121299
44,91	0,12666	0,0638586	-0,00450916
44,912	0,0869555	0,0764712	0,0207197
44,914	0,056465	-0,0430154	0,00927822
44,916	0,115328	-0,0663298	-0,0112459
44,918	0,157389	0,0279525	0,00911944
44,92	0,0711196	0,0749921	0,0381538
44,922	0,0330651	0,00360279	0,031349
44,924	0,134354	-0,0628506	-0,00967196
44,926	0,176827	0,0196227	-0,0472423
44,928	0,0816283	0,0910989	0,0112412
44,93	0,0434349	0,00719476	0,0801875
44,932	0,128275	-0,0732059	0,0218941
44,934	0,141664	0,0113891	-0,0522093
44,936	0,0434191	0,123157	0,00982291
44,938	0,0362424	0,0608606	0,0573214
44,94	0,138858	-0,0630085	-0,0144354
44,942	0,150768	-0,017709	-0,0503213
44,944	0,0666362	0,101496	0,0282725
44,946	0,0468055	0,0426562	0,0566147
44,948	0,0914151	-0,0630595	-0,0147126
44,95	0,0924986	0,0370461	-0,0471785
44,952	0,0457817	0,142989	0,0126204
44,954	0,062832	0,0471646	0,0360534
44,956	0,137054	-0,053246	-0,00900098
44,958	0,121808	0,00729599	-0,0184191
44,96	0,0487869	0,113949	0,0292629
44,962	0,0480337	0,0881922	0,0294397
44,964	0,0978569	-0,0178704	-0,0221898
44,966	0,0969921	0,00444995	-0,0214016
44,968	0,0470185	0,117108	0,040577
44,97	0,0714647	0,0890456	0,0536863
44,972	0,122331	-0,0370689	-0,00813942
44,974	0,0691855	0,0126469	-0,0353027
44,976	0,0379712	0,143505	0,0199969
44,978	0,0779027	0,0842832	0,0390077
44,98	0,0765739	-0,0405776	-0,00693407
44,982	0,0606186	0,0155567	-0,00378826
44,984	0,0578331	0,113936	0,0299105
44,986	0,0540943	0,0705096	0,00839214
44,988	0,0699989	-0,00217266	-0,0345639
44,99	0,0675485	0,0325029	-0,0115995
44,992	0,0554888	0,0784438	0,0297064
44,994	0,0399312	0,0276704	0,0253365
44,996	0,032854	0,00513572	-0,0224334
44,998	0,0581699	0,0335271	-0,0315895
45	0,0465236	0,0517067	0,00834636
45,002	0,0061646	0,0479996	0,0202458
45,004	0,0221273	0,0163332	0,0135122
45,006	0,0532125	0,00226699	0,00420955
45,008	0,0292289	0,0179695	-0,00896838
45,01	0,0139497	0,0100522	-0,0206286
45,012	0,0343336	0,00770604	0,00389463
45,014	0,0229013	0,0320772	0,0306446
45,016	-0,00193555	0,0244432	0,0322199
45,018	0,0213207	-0,00760783	0,00611937
45,02	0,0485648	0,0074164	-0,0341287
45,022	0,0519143	0,0220167	-0,0238488
45,024	0,0236674	-0,00525943	0,0339925
45,026	-0,0020764	-0,0122487	0,0361104
45,028	0,0371915	0,00950476	-0,0127082
45,03	0,063668	0,0192765	-0,0114771
45,032	0,0134015	-0,00596946	0,01493
45,034	0,0111218	-0,0153848	0,00999126
45,036	0,0746812	0,0188613	-0,0175661
45,038	0,0722628	0,0232358	-0,0062255
45,04	0,0117064	-0,0210563	0,0309493
45,042	0,0124566	-0,0183296	0,0282431
45,044	0,0716422	0,0256109	-0,0304598
45,046	0,0759984	0,0160297	-0,0220539
45,048	0,0264231	-0,00606115	0,0261624
45,05	0,0425901	0,00306871	0,0157233
45,052	0,0916589	0,00392237	-0,0230758
45,054	0,0546418	0,00283878	0,00400307
45,056	0,00862516	0,00882478	0,022649
45,058	0,0577886	-0,00101619	-0,0260109
45,06	0,0897388	-0,00338448	-0,0401323
45,062	0,0513492	0,0201707	0,0176497
45,064	0,0216023	0,000478591	0,0543367
45,066	0,0410222	0,00178808	0,00334629
45,068	0,0778834	0,0255628	-0,0577405
45,07	0,0677976	-0,00323094	-0,0278218
45,072	0,0371386	0,00784431	0,0289205
45,074	0,0525716	0,0184479	0,0444545
45,076	0,0785831	0,00199404	0,0134478
45,078	0,0468693	0,0245954	-0,0353494
45,08	0,0216314	0,0231825	-0,0143742
45,082	0,0908584	0,0108653	0,0253692
45,084	0,117454	0,0211827	0,00785309
45,086	0,0457746	0,0341689	-0,00437576
45,088	0,0471722	0,0258443	0,0332676
45,09	0,0915197	-0,00825628	0,00728081
45,092	0,0888608	0,0160662	-0,0373365
45,094	0,0632745	0,075537	0,00352219
45,096	0,060569	0,0571916	0,0374518
45,098	0,119521	-0,00894037	0,0030623
45,1	0,125462	0,00991199	-0,00212536
45,102	0,0677795	0,0813615	0,0158439
45,104	0,0941557	0,0498408	-0,00900094
45,106	0,108601	-0,00580026	-0,0414441
45,108	0,0774661	0,0419479	0,00803832
45,11	0,10686	0,0828876	0,0674468
45,112	0,118474	0,0415771	0,0192029
45,114	0,0977761	0,0122421	-0,0587753
45,116	0,110769	0,0171378	-0,0305939
45,118	0,0945383	0,0468307	0,0286556
45,12	0,0681731	0,0714282	0,0252667
45,122	0,100161	0,01526	0,0171633
45,124	0,122637	-0,0173811	0,00607509
45,126	0,0774106	0,0370377	-0,0124894
45,128	0,0539479	0,0613876	0,00441195
45,13	0,0969758	0,0237811	0,0399134
45,132	0,106845	-0,00211454	0,011078
45,134	0,0878555	0,0258131	-0,0099324
45,136	0,0710611	0,045337	0,0134464
45,138	0,0599897	-0,0108457	0,0295151
45,14	0,0811051	-0,0212934	0,00101968
45,142	0,0805738	0,0345614	-0,00118032
45,144	0,0563323	0,047621	-0,000708448
45,146	0,0820161	-0,00842445	-0,00503923
45,148	0,0824923	-0,0293061	-0,0108074
45,15	0,078073	0,00601545	0,0128156
45,152	0,0732378	0,00910278	0,0124704
45,154	0,0438144	0,00494798	-0,0350218
45,156	0,067044	-0,0054605	-0,0205632
45,158	0,092282	-0,00255467	0,0323423
45,16	0,0706761	0,0324737	0,0154748
45,162	0,0770834	0,0127778	-0,0169815
45,164	0,0859238	-0,0372828	-0,0255133
45,166	0,0571738	-0,0371719	0,0021838
45,168	0,0522789	0,0409855	0,0243329
45,17	0,0749273	0,0386337	0,0195772
45,172	0,078512	-0,0350226	-0,00208981
45,174	0,0593865	-0,0362367	-0,019496
45,176	0,0515939	0,0109717	0,0124359
45,178	0,0738015	0,034331	0,0234493
45,18	0,058595	-0,0127142	0,00372678
45,182	0,0406515	-0,0267481	-0,0058286
45,184	0,0606993	0,00491777	0,0304571
45,186	0,0542366	0,0210589	0,0218411
45,188	0,043628	-0,00329255	-0,0105034
45,19	0,0611843	-0,00484473	-0,00614323
45,192	0,046178	0,0126736	0,00865128
45,194	0,0172478	0,0264237	0,0209869
45,196	0,0328068	0,017523	0,0155667
45,198	0,0514725	-0,0108397	-0,00436339
45,2	0,0581768	-0,0161735	-0,0264011
45,202	0,0281167	0,0257004	-0,0163981
45,204	0,00359967	0,0392576	0,015708
45,206	0,0143691	0,00460942	0,0158613
45,208	0,0331441	-0,00273464	-0,00399371
45,21	0,0391261	0,0362962	-0,0111348
45,212	0,0412876	0,0274262	-0,00665637
45,214	0,0323473	-0,0150401	0,0096735
45,216	0,0360476	0,022473	0,00248001
45,218	0,0291117	0,0565097	0,00989366
45,22	0,00482397	0,0555605	0,0319001
45,222	0,0136596	0,0310027	0,0147753
45,224	0,0432827	-0,000583258	-0,0207302
45,226	0,0675093	0,022761	0,0128757
45,228	0,0550449	0,0628156	0,045981
45,23	0,033149	0,0458626	0,00759973
45,232	0,020768	0,0213832	-0,0191288
45,234	0,00346099	0,0364335	-0,00609083
45,236	0,0444177	0,0465976	0,0248788
45,238	0,0715369	0,0327317	0,0325327
45,24	0,0412442	0,0364451	0,00868246
45,242	0,0660938	0,0280083	-0,010646
45,244	0,0792611	0,0443812	-0,0179323
45,246	0,0125659	0,0581191	-0,00117387
45,248	0,0201711	0,0418676	0,0464545
45,25	0,063665	0,0342105	0,0105897
45,252	0,0598407	0,0265919	-0,0263818
45,254	0,0575918	0,0273007	0,0104484
45,256	0,0565126	0,0344745	0,0512307
45,258	0,042062	0,0580174	-0,0215349
45,26	0,0274356	0,0373395	-0,0484256
45,262	0,0249583	0,0123713	0,0053299
45,264	0,0685185	0,0056347	0,0295411
45,266	0,0617939	0,00394257	0,000848554
45,268	0,0225394	0,0380345	0,0059857
45,27	0,0459881	0,0311972	0,000828645
45,272	0,0659464	-0,00435221	-0,0402172
45,274	0,0294192	0,0423122	-0,0444737
45,276	0,0363885	0,0357593	0,032527
45,278	0,0859975	-0,0326435	0,0487759
45,28	0,0596263	-0,0165008	-0,016889
45,282	0,0197473	0,0352579	-0,0281911
45,284	0,0676572	0,025013	0,0117567
45,286	0,0718934	0,00605187	-0,0127024
45,288	0,024605	0,0251156	-0,0320716
45,29	0,0607971	0,0170341	0,0397107
45,292	0,067175	-0,0269783	0,0261625
45,294	0,0605917	-0,0443106	-0,0348232
45,296	0,0785917	0,00721306	-0,0158601
45,298	0,0594509	0,0502648	0,0190871
45,3	0,0552699	0,0120447	-0,00372258
45,302	0,0768172	-0,0185715	-0,0154696
45,304	0,0607357	0,00332646	0,00855167
45,306	0,0832387	0,00172068	0,029349
45,308	0,0873609	-0,00890681	0,00811797
45,31	0,0494361	0,000342367	-0,0276224
45,312	0,0736225	0,00502321	0,00331229
45,314	0,0793657	0,0338108	0,0217318
45,316	0,0470913	0,025292	-0,0015681
45,318	0,0577364	-0,0385183	-0,00278148
45,32	0,0605794	-0,0196966	-0,00658065
45,322	0,0476339	0,0275645	-0,0142934
45,324	0,0734428	-0,0127666	0,0236528
45,326	0,0567919	-0,00217307	0,007102
45,328	0,0359491	0,0387795	-0,0523508
45,33	0,066505	0,00685717	-0,0178858
45,332	0,0510382	-0,0139728	0,0230374
45,334	0,0137243	-0,0113541	-0,00156744
45,336	0,0576566	0,0240718	-0,0161226
45,338	0,0701488	0,0245398	0,0141133
45,34	0,0270104	-0,0159424	0,0110023
45,342	0,0335116	0,0103185	-0,0234882
45,344	0,0375109	0,0529313	-0,0220478
45,346	0,0438052	0,00976834	0,0138003
45,348	0,0277351	-0,0427624	0,0346165
45,35	0,00345933	0,031102	0,013758
45,352	0,0532441	0,0725719	0,0058337
45,354	0,0603784	-0,00328061	-0,00811499
45,356	0,0173681	-0,0167213	-0,0244324
45,358	0,0469766	0,0529141	0,00590508
45,36	0,0585819	0,0558488	0,0240426
45,362	0,0209584	-0,0141928	0,0214649
45,364	0,0385136	-0,0124443	0,00742998
45,366	0,0618396	0,0623702	-0,0113354
45,368	0,0554387	0,0726854	-0,0164445
45,37	0,0482326	0,014496	0,0073727
45,372	0,0377309	0,000833386	0,00809971
45,374	0,0457309	0,0508936	-0,00362887
45,376	0,057878	0,0433933	0,0195962
45,378	0,0280993	0,00165337	0,00837405
45,38	0,0206179	0,0161427	-0,0316461
45,382	0,0630841	0,0538819	0,00436292
45,384	0,0591696	0,0638815	0,0219193
45,386	0,0233751	-0,000246458	0,000776766
45,388	0,028173	-0,00238965	-0,0194022
45,39	0,0595694	0,0419596	-0,000979125
45,392	0,052809	0,0261883	0,0176047
45,394	0,0075233	0,00939909	0,0200068
45,396	0,00129108	0,0354349	0,00197187
45,398	0,0823096	0,0468504	-0,0140661
45,4	0,0599418	0,00256196	-0,00103932
45,402	-0,0275541	-0,00244478	0,0149204
45,404	0,0359252	0,0267429	0,0170601
45,406	0,0791337	0,0108433	-0,00405929
45,408	0,00129567	0,0132896	-0,00987442
45,41	-0,00361102	0,032456	0,0270203
45,412	0,0574116	0,0252323	0,00708058
45,414	0,0623551	0,0122207	-0,0496545
45,416	0,021061	-0,0071436	-0,00255211
45,418	0,0312271	0,0190292	0,0481896
45,42	0,0901247	0,0241571	-0,000858296
45,422	0,0535812	0,0211196	-0,0596793
45,424	0,0129555	0,0192197	-0,00125953
45,426	0,0565379	0,00873461	0,0348059
45,428	0,0858393	0,0156069	-0,0212245
45,43	0,0568997	0,0299404	-0,023731
45,432	0,0614455	0,0147323	0,0342778
45,434	0,0798612	-0,0192691	0,0175495
45,436	0,0719532	0,0349409	-0,0384319
45,438	0,0498264	0,0606849	0,00101712
45,44	0,0506663	-0,0042157	0,0463566
45,442	0,0793819	-0,0123316	-0,0103546
45,444	0,0855221	0,0326519	-0,0191477
45,446	0,0754432	0,0370687	0,0455058
45,448	0,0601804	-0,00445107	0,0327144
45,45	0,0775186	-0,000584411	-0,0437461
45,452	0,0934422	0,0337175	-0,0177806
45,454	0,0555838	0,029801	0,0313109
45,456	0,0477244	0,000247573	0,0143602
45,458	0,0936305	-0,0151222	0,00296574
45,46	0,0960069	0,0292083	0,00769887
45,462	0,0547556	0,0420073	-0,00279584
45,464	0,0474504	0,00912652	-0,0131205
45,466	0,080967	0,00360045	-0,011811
45,468	0,0832227	0,0262761	0,00185208
45,47	0,040691	0,0425839	-0,000537334
45,472	0,04816	0,00108722	0,016022
45,474	0,088276	-0,0349818	-0,00283138
45,476	0,0722774	0,0288132	-0,031423
45,478	0,0379207	0,0919857	-0,0127105
45,48	0,0695918	0,0151831	0,0277531
45,482	0,0998297	-0,0433852	-0,00208658
45,484	0,0677762	0,0510663	-0,0538816
45,486	0,0521914	0,0772037	0,00980483
45,488	0,0668374	-0,0170288	0,0597847
45,49	0,061623	-0,021663	-0,00867213
45,492	0,0600873	0,0792277	-0,035891
45,494	0,0734064	0,092039	0,0351735
45,496	0,0711662	-0,0202806	0,020021
45,498	0,0841915	-0,0378791	-0,0410225
45,5	0,0792816	0,0671929	0,0293782
45,502	0,0442781	0,0893994	0,0850193
45,504	0,0337933	-0,00372956	-0,00714806
45,506	0,0549671	-0,00291167	-0,0457285
45,508	0,0873811	0,0910073	0,0320665
45,51	0,0899769	0,0632671	0,0519066
45,512	0,0456047	-0,0147083	-0,0099154
45,514	0,0602478	0,00249952	-0,00575534
45,516	0,0984177	0,0398521	0,015559
45,518	0,0348459	0,0571529	-0,00185115
45,52	-0,0119571	0,0490672	0,00584295
45,522	0,0692008	0,00578873	0,0265339
45,524	0,0945751	0,00203326	-0,0266226
45,526	0,0255945	0,0469455	-0,0224735
45,528	0,0260453	0,0572936	0,0396764
45,53	0,0612914	-0,00314646	0,0101647
45,532	0,0331181	-0,0011044	-0,0496613
45,534	0,00454505	0,0651413	0,00326585
45,536	0,00835936	0,039681	0,0470944
45,538	0,0478886	-0,0240854	-0,00749704
45,54	0,0577036	0,011109	-0,037402
45,542	0,00662265	0,0552617	0,00621297
45,544	0,00173495	0,0155842	0,0282817
45,546	0,0448373	0,00288792	-0,00610307
45,548	0,0392355	0,0283202	-0,024976
45,55	0,00641719	0,010428	0,0161148
45,552	0,00906956	0,00771868	0,0260841
45,554	0,0337992	0,0361976	-0,0199613
45,556	0,0240515	0,00569425	-0,00411516
45,558	-0,0128283	0,0134965	0,0320745
45,56	0,0280255	0,0438877	-4,92111e-005
45,562	0,0708547	0,00134959	-0,0168601
45,564	0,0288932	-0,0129378	0,0210356
45,566	-0,010801	0,0263431	0,0213111
45,568	0,0412436	0,045342	-0,0130918
45,57	0,0491475	0,0180137	-0,00975526
45,572	-0,0076627	0,0100933	0,0296275
45,574	0,0140938	0,039799	0,0174343
45,576	0,0635974	0,0206421	-0,0210158
45,578	0,0545452	-0,022576	-0,0105744
45,58	0,0395424	0,00222002	0,0252648
45,582	0,0203508	0,0525479	0,00106127
45,584	0,00198371	0,0291156	-0,0234565
45,586	0,0164297	-0,0113812	0,00941852
45,588	0,0287042	0,0149006	0,0303951
45,59	0,0379146	0,0427623	0,00748692
45,592	0,0352485	0,0150592	-0,0052023
45,594	0,0415928	-0,00451277	-0,0168303
45,596	0,0534751	0,00235925	-0,00266449
45,598	-0,00327518	0,0485873	0,0237307
45,6	-0,0197872	0,0656377	0,0119037
45,602	0,0497298	-0,0269655	-0,00798051
45,604	0,0463758	-0,0300465	-0,0158925
45,606	0,00901044	0,0568977	-0,000108616
45,608	0,0507997	0,039951	0,0332873
45,61	0,0589704	-0,0156518	0,000165474
45,612	0,0121763	0,0138605	-0,0426107
45,614	0,0274078	0,0567379	-0,00698821
45,616	0,0377455	0,0342062	0,0390476
45,618	0,0219903	-0,00573973	0,0141223
45,62	0,0539812	-1,87661e-006	0,00686474
45,622	0,063255	0,0549882	0,0186858
45,624	0,0374203	0,0604416	-0,0125238
45,626	0,0656632	0,00296527	-0,0139058
45,628	0,0710371	0,0065906	0,0172428
45,63	0,049915	0,0549767	0,0226513
45,632	0,0513685	0,0443845	0,0120754
45,634	0,0441444	0,00077326	0,00607753
45,636	0,0686016	0,0118809	0,00247769
45,638	0,0966111	0,0692395	0,000675597
45,64	0,0628036	0,081359	-0,00833948
45,642	0,0775345	0,00453702	-0,00899857
45,644	0,102688	-0,0445957	0,00555393
45,646	0,0528261	0,0561704	0,00242972
45,648	0,0314475	0,0904455	0,00250022
45,65	0,0738785	-0,00377621	0,020091
45,652	0,0865794	-0,001117	-0,0151261
45,654	0,0803918	0,0712329	-0,0292917
45,656	0,0794283	0,0686392	-0,000458241
45,658	0,0607957	-0,0193012	0,0246072
45,66	0,0586479	-0,0404539	-0,0130621
45,662	0,0646809	0,0497991	-0,00545252
45,664	0,0221851	0,0930206	0,0210484
45,666	0,0510343	-0,000362355	0,00449087
45,668	0,107808	-0,0544824	-0,0277117
45,67	0,0692925	0,0506513	0,00710603
45,672	0,028791	0,0785823	0,0439728
45,674	0,0349874	-0,026136	-0,0133582
45,676	0,0470941	-0,04315	-0,0545672
45,678	0,0752457	0,0270909	0,0436376
45,68	0,0681691	0,0724093	0,0750484
45,682	0,0261573	0,0243889	-0,0194509
45,684	0,0461131	-0,0437846	-0,0487209
45,686	0,0857926	-0,00922591	0,015696
45,688	0,0504055	0,0641783	0,0307743
45,69	0,0150934	0,0600746	0,0136705
45,692	0,0617386	-0,0251039	0,00175243
45,694	0,0952702	-0,0647336	-0,0172021
45,696	0,0650324	0,0349295	0,00603457
45,698	0,0221452	0,109204	0,0354755
45,7	0,0437761	0,0155416	-0,00349281
45,702	0,0798091	-0,0669973	-0,058975
45,704	0,0545927	0,0205206	-0,00688555
45,706	0,0391062	0,0886514	0,0739085
45,708	0,0709698	-0,00125552	0,0394049
45,71	0,0643056	-0,048067	-0,0621
45,712	0,0378132	0,0359301	-0,0500126
45,714	0,0294217	0,0870373	0,0390393
45,716	0,0301274	0,0399806	0,045932
45,718	0,0404481	-0,0283785	-0,00647215
45,72	0,0450831	-0,0271372	-0,010712
45,722	0,0405975	0,0452742	0,00451523
45,724	0,0287211	0,0632343	0,000113301
45,726	0,014673	0,000391118	0,00421784
45,728	0,0209915	-0,00872794	0,00885621
45,73	0,0260489	0,0588667	-0,00719509
45,732	0,00503008	0,0563572	-0,00287679
45,734	-0,00729349	-0,0259248	0,0346965
45,736	0,0203349	-0,0281119	0,0212146
45,738	0,0468181	0,0651899	-0,0353361
45,74	0,0225806	0,0832942	-0,010704
